compound,rt,formula,exact.mass,file,CAS,RI,InChIKey,RI_linear
 L-Threonine 2TMS,450,C10H25NO3Si2 ,263.4814,Mix04.mzML,7536825,NA,CKXHAGKHQXMUJP-DTWKUNHWSA-N ,NA
Adenine 2TMS,1398,C11H21N5Si2 ,279.4889,Mix05.mzML,179950409,NA,SSWSPDDXHGZYTL-UHFFFAOYSA-N ,NA
Adenosine 4TMS,2143.02,C22H45N5O4Si4 ,555.9658,Mix03.mzML,53294330,NA,ADQCPBJKGAVWKS-WGQQHEPDSA-N ,NA
Alpha-linolenic acid (C 18-3) TMS,1710,C21H38O2Si ,350.6107,Mix05.mzML,97844138,NA,DCFAEXKJEMZTKR-QNEBEIHSSA-N ,NA
C18-1 (oleic acid) TMS,1678.8,C21H42O2Si ,354.6425,Mix03.mzML,21556263,NA,GAODWSYPSJBKGB-SEYXRHQNSA-N ,NA
C18-2 (linoleic acid) TMS,1686.6,C21H40O2Si ,352.6266,Mix04.mzML,56259075,NA,MXGBYOVWUYSJSN-UTJQPWESSA-N ,NA
Cellobiose 8TMS (isomer 1),1982.1,C36H86O11Si8 ,919.7454,Mix01.mzML,NA,NA,QJZFVYJIGWEKIR-IOQVCBBKSA-N ,NA
Cellobiose 8TMS (isomer 2),2010.9,C36H86O11Si8 ,919.7454,Mix01.mzML,NA,NA,QJZFVYJIGWEKIR-IOQVCBBKSA-N ,NA
d-Ribose 4TMS O-methyloxime,898.8,C18H45NO5Si4 ,467.8956,Mix04.mzML,NA,NA,ZBEJHGUYYNELJI-KSZLIROESA-N ,NA
Histidine 3TMS,1406.4,C15H33N3O2Si3 ,371.6979,Mix04.mzML,17908-25-7 ,NA,MEFLGORIMZDUEG-AWEZNQCLSA-N ,NA
Inosine 4TMS,2089.8,C22H44N4O5Si4 ,556.9506,Mix01.mzML,NA,NA,LEZIDMDMEIMSNO-UHFFFAOYSA-N ,NA
L-Threonine 3TMS,519,C13H33NO3Si3 ,335.6625,Mix04.mzML,75370202,NA,GTYBQDCOPQDAPP-NWDGAFQWSA-N ,NA
Maltose 8TMS methyloxime (isomer 1),1996.5,C37H89NO11Si8 ,949.7867,Mix05.mzML,NA,NA,KNAZTEWBFRPMHZ-UHFFFAOYSA-N ,NA
Maltose 8TMS methyloxime (isomer 2),2024.4,C37H89NO11Si8 ,948.7867,Mix05.mzML,NA,NA,KNAZTEWBFRPMHZ-UHFFFAOYSA-N ,NA
Palmitc acid TMS (Hexadecanoic acid),1466.1,C19H40O2Si ,328.6052,Mix02.mzML,55520893,NA,HKNNSWCACQFVIK-UHFFFAOYSA-N ,NA
Putrescine (1.4-Butanediamina),924.84,C16H44N2Si4 ,376.2581556,Mix01.mzML,39772639,NA,HALMUIBMTWWREW-UHFFFAOYSA-N ,NA
Tyrosine 3TMS,1350,C18H35NO3Si3 ,397.7319,Mix01.mzML,51220736,NA,WMWBCQXPKSQMOK-QGZVFWFLSA-N ,NA
Valine 2TMS,294.6,C11H27NO2Si2 ,261.5086,Mix01.mzML,7364445,NA,UJMRIWMQZDBOTB-SNVBAGLBSA-N ,NA
Valine TMS,219.36,C8H19NO2Si ,189.3275,Mix01.mzML,7480786,NA,IJGIMCZHMYSSHY-SSDOTTSWSA-N ,NA
